2010_a,zip,2011_a,2012_a,2013_a,2010_s,2011_s,2012_s,2013_s,2010_r,2011_r,2012_r,2013_r,total_a,total_s,total_r
12918.0,11206.0,12077.0,10744.0,11223,456.0,509.0,501.0,558.0,0.0352995819786,0.042146228368,0.0466306775875,0.0497193263833,46962.0,2024.0,0.0430986755249
25990.0,11207.0,24334.0,21899.0,20451,1048.0,1051.0,1031.0,886.0,0.0403232012312,0.0431905975179,0.0470797753322,0.0433230648868,92674.0,4016.0,0.0433347001316
21146.0,11208.0,18855.0,18046.0,17603,850.0,901.0,793.0,823.0,0.0401967275135,0.0477857332273,0.0439432561232,0.0467533943078,75650.0,3367.0,0.0445076007931
11891.0,11209.0,12522.0,11506.0,10383,548.0,583.0,509.0,473.0,0.0460852745774,0.0465580578182,0.0442377889797,0.045555234518,46302.0,2113.0,0.0456351777461
14681.0,11210.0,14965.0,11910.0,10993,621.0,664.0,609.0,605.0,0.0422995708739,0.0443701971266,0.0511335012594,0.0550350222869,52549.0,2499.0,0.0475556147596
17332.0,11211.0,17837.0,13093.0,11918,941.0,830.0,583.0,676.0,0.0542926378952,0.0465324886472,0.0445276101734,0.0567209263299,60180.0,3030.0,0.0503489531406
17248.0,11212.0,17179.0,16370.0,15811,780.0,865.0,639.0,759.0,0.0452226345083,0.0503521741661,0.0390348197923,0.0480045537917,66608.0,3043.0,0.0456852029786
19319.0,11213.0,19593.0,17645.0,17648,925.0,862.0,703.0,815.0,0.0478803250686,0.0439953044455,0.0398413148201,0.0461808703536,74205.0,3305.0,0.0445387777104
14263.0,11214.0,13803.0,11807.0,11724,784.0,793.0,684.0,666.0,0.0549673981631,0.0574512787075,0.0579317354112,0.0568065506653,51597.0,2927.0,0.0567281043472
13213.0,11215.0,12298.0,11666.0,12048,698.0,622.0,638.0,720.0,0.0528267615227,0.0505773296471,0.0546888393622,0.0597609561753,49225.0,2678.0,0.0544032503809
17054.0,11216.0,19010.0,16834.0,16284,609.0,787.0,740.0,926.0,0.0357100973379,0.0413992635455,0.0439586551028,0.0568656349791,69182.0,3062.0,0.0442600676477
8103.0,11217.0,8305.0,8291.0,8618,483.0,531.0,550.0,514.0,0.0596075527582,0.0639373871162,0.0663369919189,0.0596426084939,33317.0,2078.0,0.0623705615752
14466.0,11218.0,13058.0,11087.0,12905,596.0,539.0,541.0,657.0,0.0412000553021,0.0412773778527,0.048795887075,0.0509104998063,51516.0,2333.0,0.0452869011569
13133.0,11219.0,12715.0,10454.0,10165,476.0,502.0,310.0,351.0,0.0362445747354,0.0394809280378,0.0296537210637,0.0345302508608,46467.0,1639.0,0.0352723438139
14301.0,11220.0,14618.0,13237.0,12538,518.0,518.0,485.0,462.0,0.0362212432697,0.0354357641264,0.0366397219914,0.0368479821343,54694.0,1983.0,0.0362562621128
23794.0,11221.0,22680.0,19605.0,19613,772.0,938.0,921.0,1010.0,0.0324451542406,0.0413580246914,0.0469778117827,0.051496456432,85692.0,3641.0,0.0424893805723
8320.0,11222.0,7724.0,7703.0,8053,450.0,351.0,458.0,556.0,0.0540865384615,0.0454427757639,0.0594573542776,0.0690425928226,31800.0,1815.0,0.0570754716981
10890.0,11223.0,11233.0,10677.0,10786,625.0,608.0,465.0,627.0,0.0573921028466,0.0541262351999,0.0435515594268,0.0581309104395,43586.0,2325.0,0.0533428165007
5159.0,11224.0,4387.0,5735.0,5152,343.0,351.0,417.0,390.0,0.0664857530529,0.0800091178482,0.0727114210985,0.075698757764,20433.0,1501.0,0.0734595996672
18724.0,11225.0,18298.0,16340.0,16996,790.0,839.0,668.0,728.0,0.0421918393506,0.0458520056837,0.0408812729498,0.0428336079077,70358.0,3025.0,0.0429944000682
33910.0,11226.0,33655.0,27620.0,28567,1487.0,1569.0,1224.0,1425.0,0.0438513712769,0.0466201158817,0.0443157132513,0.0498827318234,123752.0,5705.0,0.0461002650462
5552.0,11228.0,5335.0,5061.0,4614,248.0,232.0,195.0,182.0,0.0446685878963,0.0434864104967,0.0385299347955,0.0394451668834,20562.0,857.0,0.041678825017
14074.0,11229.0,12911.0,11588.0,10807,779.0,709.0,617.0,560.0,0.0553502913173,0.0549144140655,0.0532447359337,0.0518182659387,49380.0,2665.0,0.053969218307
17247.0,11230.0,17250.0,15585.0,14693,801.0,661.0,620.0,645.0,0.0464428596278,0.0383188405797,0.0397818415143,0.0438984550466,64775.0,2727.0,0.0420995754535
6430.0,11231.0,6558.0,6068.0,6264,451.0,360.0,354.0,470.0,0.0701399688958,0.0548947849954,0.0583388266315,0.0750319284802,25320.0,1635.0,0.0645734597156
6255.0,11232.0,6531.0,5645.0,5398,182.0,209.0,189.0,186.0,0.0290967226219,0.0320012249273,0.0334809565988,0.0344572063727,23829.0,766.0,0.0321457048135
